,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
AGT,0.0563572121020393,,,,,0.9962090509916655,,,,,0
AGTPBP1,,,-0.0874693703993239,,,,,0.651324522465706,,,0
AHCY,,,0.419825583486144,,,,,0.381229643266063,,,0
AHCYL1,,-0.31550859951547,0.1633809383685,0.495161747223397,,,0.763994332615529,0.516212108667016,0.0812129414630475,,0
AHNAK,0.130593114429049,0.104056115770651,0.143419768478218,-0.0115667588771083,,0.9962090509916655,0.966681834141769,0.482851686390922,0.975161960680329,,0
AHNAK2,,-0.284359796819678,0.0402687779899401,-0.0670328590933313,,,0.680473772495295,0.880326489698158,0.865696150071692,,0
AHNK,,,,,0.175518596364901,,,,,0.264266707620211,0
AHNK2,,,,,-0.0678925081829367,,,,,0.810282005287533,0
AHSA1,,-0.17548629857008,-0.171792609463341,-0.39845613405904,-0.10637584943732,,0.674651739375727,0.273604354814231,0.238223131173986,0.758985478349908,0
AHSG,0.0254426170589745,,,,,0.9962090509916655,,,,,0
AIDA,,,-0.10675978505559,,-0.126441087659332,,,0.817699229890838,,0.81005360239623,0
AIMP1,,,0.0197471240313877,,-0.114001038958972,,,0.939125760975527,,0.74811264574349,0
AIMP2,,-0.0558002068608916,-0.0253694306139909,-0.3130680209418,-0.106413748352651,,0.967386176723987,0.951976352046858,0.524066938239039,0.854343651697813,0
AINX,,,,,-0.108731013723434,,,,,0.349322249511865,0
AIP,,-0.266100049362004,-0.0746347481906004,-0.280423376732586,-0.0119062005102875,,0.640265833822282,0.546387463718318,0.273752598404772,0.949461298120489,0
AJAP1,,,0.122814740635577,,,,,0.609595673500523,,,0
AJM1,,0.0405028895857481,0.164058195346356,,0.380874398245318,,0.957253659246445,0.584849344556231,,0.42256728574255,0
AK1,0.101362909272661,-0.288962944654503,-0.254090978254285,-0.49715721453992,,0.9962090509916655,0.610093653772048,0.253365940806029,0.358971336600452,,0
AK1A1,,,,,-0.154023384436361,,,,,0.590538440857991,0
AK1C1,,,,,-0.0233419240466475,,,,,0.94661764738011,0
AK1C2,,,,,0.0736328085375584,,,,,0.742389061797561,0
AK1C3,,,,,0.389626046639534,,,,,0.455062325658473,0
AK3,,,0.201035039048653,,,,,0.738318967972883,,,0
AK4,,-0.214711818280657,-0.0440748321081599,-0.560522492915559,,,0.320272446443753,0.770946900828709,0.124916918497429,,0
AK5,,-0.105287253131166,0.00893311498971494,-0.17312110834364,,,0.803928607286426,0.971244686557895,0.51123279260033,,0
AKA10,,,,,0.220034167173816,,,,,0.812069198826305,0
AKA12,,,,,-0.0420801725104791,,,,,0.813470416374552,0
AKAP1,,,0.20187999333106,,0.183796027594572,,,0.38855641061415,,0.587725106073838,0
AKAP10,,0.0605161735648964,-0.0411236308827352,,,,0.914568672746504,0.93013180500969,,,0
AKAP12,,0.142001627856071,0.0426778442749638,0.0982309806121289,,,0.857580939949136,0.806580761480638,0.854828265466749,,0
AKAP8L,,,0.0136186702528951,,,,,0.966263864172868,,,0
AKIB1,,,,,0.0723616257945996,,,,,0.692153399164166,0
AKP8L,,,,,0.0672839634418554,,,,,0.790429700790636,0
AKR1A1,0.0523268813975371,-0.637458219337718,-0.448496306757252,0.290318912160005,,0.9962090509916655,0.249612868907871,0.0796778441408507,0.23097577976076,,0
AKR1B1,0.16349328107747,0.618371929385903,0.118976175657248,0.820155574040753,,0.9595208764726064,0.818050422085317,0.761096589101964,0.0175569864099829,,1
AKR1C1,,-0.216716216564606,-0.173228103348976,-0.0832274049955297,,,0.632538622874039,0.300339511499474,0.849367032184761,,0
AKR1C2,,,-0.150990703702874,,,,,0.476276477935986,,,0
AKR1C3,,,-0.0180147410882076,,,,,0.984853361307023,,,0
AKR7A2,,-0.415192980317873,0.294583243058081,0.280869226192946,,,0.771927847606923,0.805411344866157,0.107632432275971,,0
AKT1,,0.219230671355666,0.199955045751875,-0.474001617532085,0.12930567878182,,0.724657639119472,0.621431588510526,0.238223131173986,0.707316466867986,0
AKT3,,-0.0476190205972455,-0.09957175144909,-0.577527683469201,0.0230984229700854,,0.966681834141769,0.615521858873449,,0.946117362299694,0
AL1A1,,,,,0.110971009311753,,,,,0.671738063316832,0
AL1L1,,,,,-0.246756947799591,,,,,0.46148746133673,0
AL1L2,,,,,-0.591003534246898,,,,,0.406354012139535,0
AL3A2,,,,,-0.0125923516122608,,,,,0.971463783287766,0
AL4A1,,,,,-0.204114832329182,,,,,0.71720216063106,0
AL7A1,,,,,0.228502380698686,,,,,0.357948649142824,0
AL9A1,,,,,-0.0621865053057451,,,,,0.823773668658492,0
ALAD,,,0.0754755473903642,,,,,0.827288292971682,,,0
ALB,-0.0117442037267459,,,,,0.9962090509916655,,,,,0
ALCAM,0.0329820671860048,,0.665236456830615,,,0.9962090509916655,,0.252306262942617,,,0
ALDH18A1,,-0.434249534177619,-0.184813126148704,-0.426239777727508,,,0.327767364335989,0.621431588510526,0.430637278343839,,0
ALDH1A1,0.286033708636159,,0.277439711128618,,,0.7675984230778834,,0.652190328859521,,,0
ALDH1L1,,-0.00422812504841508,-0.280509484928126,0.0564032802776836,,,,0.458213139767021,0.849367032184761,,0
ALDH1L2,,,-0.269919962674885,,,,,0.670103802801631,,,0
ALDH2,,0.269851201084264,-0.167561622523566,0.367228976903914,0.0685657888609301,,0.803928607286426,0.532043487620776,0.199694019364699,0.829217945258732,0
ALDH3A2,,,0.145773388778574,,,,,0.577396063444382,,,0
ALDH4A1,,-0.893850694498036,0.174770850203085,-0.0327806359154959,,,0.527083132768594,0.764455221402752,0.924644376847868,,0
ALDH5A1,,0.507515244093473,-0.287624449752753,0.5915657983725,,,0.603092817669928,0.358797402931547,0.0542887589392773,,0
ALDH6A1,,-0.601874307902166,-0.111960824094859,-0.536356957891178,,,0.445260519133801,0.647862155509733,0.214234818285314,,0
ALDH7A1,,-1.10007694884838,-0.0565819038234789,0.691720187564393,,,0.736895417502584,0.904876655243994,0.0410708102392964,,1
ALDH9A1,,,0.0332302261800512,,,,,0.89973234304995,,,0
ALDOA,-0.0794747322521339,0.369706899180898,0.106806344509608,0.299634317090749,0.00112667284511359,0.9962090509916655,0.265950155397415,0.507358161492412,0.0718848581339282,0.995282347578292,0
ALDOC,-0.0151889691326303,0.216145886417982,0.0446560427862737,0.208587677916491,-0.124280246457361,0.9962090509916655,0.522987982143714,0.849469863171337,0.116766624594249,0.413808482724831,0
ALDR,,,,,0.125347682908726,,,,,0.70795226883733,0
ALG1,,,-2.59375234779863,,-0.0867000038061506,,,,,0.790504262935624,0
ALG2,,,0.0297434150286846,,0.567711104066033,,,0.936966254056613,,0.102216500368802,0
ALS2,,,-0.0375580261046518,,-0.825543358875399,,,0.960256243044392,,0.461693734263804,0
AMBP,-0.0106755311502376,,,,,0.9962090509916655,,,,,0
AMER2,,,-0.789822184959061,,-0.311622135749949,,,0.320448006826942,,0.707920997260263,0
AMN1,,,-0.073849377020341,,-0.0121802965304834,,,0.550666188619731,,0.977876592634692,0
AMPB,,,,,-0.0419103841690747,,,,,0.946117362299694,0
AMPD2,,,0.44349108460568,,0.0654568648133071,,,0.385578737922098,,0.895361859827244,0
AMPH,,,-0.00102407630595092,,-0.539256350748398,,,0.996848985019306,,0.413808482724831,0
